Land Area,Trade flow,Commodity,Y2000,S_2000,Y2001,S_2001,Y2002,S_2002,Y2003,S_2003,Y2004,S_2004,Y2005,S_2005,Y2006,S_2006,Y2007,S_2007,Y2008,S_2008,Y2009,S_2009,Y2010,S_2010,Y2011,S_2011,Y2012,S_2012,Y2013,S_2013,Y2014,S_2014,Y2015,S_2015
Aruba,Export,Fish,81,,110,,335,,242,,190,,106,,13,,10,,4,,2,,3,,0,-,0,-,23,,1,F,5,
Bahamas,Export,Fish,39,,73,,46,,110,,31,,15,,43,,82,,51,,130,,71,,95,,79,,142,,73,,51,
Barbados,Export,Fish,276,,327,,206,,238,,234,,382,,232,,230,,165,,50,,100,,122,,129,,151,,174,,187,
Belize,Export,Fish,29,,1076,,38,,80,,175,,228,,310,,225,,1307,,972,,1306,,726,,228,,276,,174,F,265,
Bermuda,Export,Fish,4,,0,0,3,F,0,-,0,-,0,-,21,F,2,F,20,F,25,F,19,F,0,-,0,-,2,,2,,1,F
Bolivia (Plurinat.State),Export,Fish,29,,85,,7,,19,F,0,-,1,,0,-,12,,32,,33,,3,,0,-,0,-,0,-,0,-,0,-
Brazil,Export,Fish,40960,,45137,,50026,,45776,,45033,,42743,,39373,,37785,,29978,,27235,,27898,,34336,,38376,,31868,,29396,,31950,
Canada,Export,Fish,304080,,321201,,341808,,353941,,381478,,418809,,409213,,374548,,369975,,343640,,362657,,331520,,310644,,295989,,276186,,308336,
Cayman Islands,Export,Fish,100,F,62,F,60,F,8,F,34,F,46,F,58,F,34,F,50,F,91,F,40,F,30,F,0,-,0,-,0,-,21,F
Chile,Export,Fish,483256,,687117,,623033,,563254,,654330,,717208,,688900,,719748,,634266,,604114,,444353,,521167,,635122,,701191,,729992,,709058,
Colombia,Export,Fish,81683,,66406,,58923,,53040,,62475,,59550,,48241,,55819,,72683,,62159,,46855,,57230,,50810,,52904,,64281,,50937,
Costa Rica,Export,Fish,30828,,41715,,43958,,38113,,30313,,32074,,26573,,24204,,27934,,23654,,20824,,24004,,24800,,25813,,22960,,20614,
Cuba,Export,Fish,317,,665,,1480,,1459,,4530,,393,,591,,678,,405,,437,,503,,391,F,363,F,374,F,339,F,324,F
Curaçao,Export,Fish,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,12707,F,15329,F,16334,F,18146,F,19815,F
Dominica,Export,Fish,0,.,0,.,0,0,1,,0,-,3,,0,-,1,,1,,0,-,0,-,0,0,0,0,0,-,0,-,0,-
Dominican Republic,Export,Fish,1510,,1499,,2152,,4319,,1231,,1519,,826,,768,,1156,,1249,,1968,,4887,,3148,,3351,,4270,,2978,
Ecuador,Export,Fish,170314,,196161,,193642,,215668,,199129,,218781,,257604,,247183,,262531,,258741,,259272,,322927,,311722,,343073,,365157,,342297,
El Salvador,Export,Fish,1061,,445,,6328,,10249,,12849,,16842,,14450,,18648,,19055,,19245,,14963,,15422,,18547,,21106,,20913,,19758,
Falkland Is.(Malvinas),Export,Fish,13982,,13248,,17888,,18805,F,21117,F,19653,,20363,,12040,,16937,,21925,,38027,,24666,,7561,,24569,,21851,,5263,
Greenland,Export,Fish,48076,,54209,,63044,,69696,,46143,,53724,,59944,,60707,,46551,,39267,,45129,,44349,,68465,,139569,,170571,,142613,
Grenada,Export,Fish,1140,,690,,623,,613,,448,,490,,513,,529,,432,,643,F,775,F,699,F,649,F,891,F,1095,F,750,F
Guatemala,Export,Fish,28037,,19756,,4139,,1523,,5557,,7798,,7966,,9558,,6223,,17485,,25650,,24455,,11433,,11648,,12123,,7425,
Guyana,Export,Fish,9165,,9848,,10243,,9861,,13478,,12800,,13154,,13669,,13832,,10076,,7762,,9921,,9783,,11565,,15634,,13295,F
Haiti,Export,Fish,278,F,270,F,221,F,160,F,261,F,150,F,136,F,210,F,301,F,400,F,270,F,287,F,224,F,152,F,180,F,174,F
